Wine_ID,Taste_Note_1,Taste_Note_2,Taste_Note_3
9488038,piña,cítrico,Terroso
2716729,"limón, cítrico",minerales,mantequilla
1718947,"miel, minerales, piedra","melocotón, drupa, albar...","roble, vainilla, manteq..."
4439738,"pera, manzana, albarico...","minerales, miel, tiza","cítrico, piel de limón,..."
6417060,"Terroso, miel, hongo",crema,caramelo
5599176,"manzana, albaricoque, p...","miel, minerales, queros...","cítrico, limón, lima"
11775445,No disponible,No disponible,No disponible
24075,"minerales, miel, piedra","mantequilla, roble, but...","cítrico, limón, pomelo"
1221576,"minerales, miel, tiza","cítrico, limón, pomelo","roble, mantequilla, vai..."
5994988,"mantequilla, roble, vai...","pera, manzana, albarico...","minerales, sal, piedra"
99629,"miel, minerales, piedra","albaricoque, melocotón,...","roble, mantequilla, vai..."
1188172,"minerales, miel, piedra","roble, mantequilla, vai...","cítrico, limón, pomelo"
1102933,"albaricoque, melocotón,...","miel, minerales, piedra","cítrico, limón, lima"
6403039,"roble, vainilla, manteq...","limón, cítrico, cáscara...","tropical, mango"
1240491,"mantequilla, roble, vai...","melocotón, albaricoque,...","minerales, miel, piedra"
1232656,"cítrico, limón, lima","minerales, piedra, humo","manzana, pera, manzana ..."
1153151,"miel, minerales, queros...","melocotón, pera, manzan...","limón, lima, pomelo"
1255075,"roble, mantequilla, vai...","manzana, albaricoque, m...","minerales, miel, humo"
11378380,No disponible,No disponible,No disponible
2396179,"minerales, miel, tiza","limón, lima, cítrico","pera, manzana, manzana ..."
1209743,"cítrico, limón, pomelo","melocotón, pera, meloco...","roble, mantequilla, tof..."
10676378,No disponible,No disponible,No disponible
1468428,"miel, hongo, minerales","melocotón, albaricoque,...","cítrico, limón, naranja"
1977136,"miel, minerales, soluci...","pera, melocotón, manzan...","cítrico, limón, piel de..."
5173174,"minerales, miel, piedra","manzana, melocotón, per...","cítrico, pomelo, limón"
1107906,"albaricoque, melocotón,...","miel, minerales, piedra","madreselva, lirio, viol..."
1257630,"minerales, miel, piedra","cítrico, limón, pomelo","mantequilla, roble, tof..."
5794737,"roble, mantequilla avel...",crema,"manzana, pera"
