Wine_ID,Taste_Note_1,Taste_Note_2,Taste_Note_3
1605189,"cereza, frambuesa, fres...","cuero, Terroso, humo","roble, mantequilla, vai..."
11071893,No disponible,No disponible,No disponible
2548,"vainilla, chocolate, ro...","ciruela, mora, mulberry","cereza, frambuesa, frut..."
1512791,"roble, vainilla, café","ciruela, mora, frutos d...","frutos rojos, cereza, c..."
2457555,"roble, vainilla, pan in...",fruta negra,canela
1174493,"chocolate, roble, vaini...","cereza, frambuesa, fres...","arándano, mermelada de ..."
5609265,"roble, vainilla, tabaco","cereza, frambuesa, frut...","ciruela, mora, cereza n..."
7048359,"vainilla, tabaco, roble","ciruela, cereza negra, ...","fresa, cereza, frutos r..."
1228038,"roble, vainilla, tabaco","fresa, cereza, frambues...","ciruela, mora, fruta ne..."
1203695,"mora, casis, ciruela","cereza, arándano rojo","Terroso, trufa negra"
7306771,"ciruela, casis, mora","cereza, frambuesa, frut...","roble, tabaco, chocolat..."
2547,"vainilla, roble, chocol...","ciruela, mora, frutos d...","cereza, frutos rojos, f..."
11265028,No disponible,No disponible,No disponible
2687609,"ciruela, mora, casis","cereza, fresa, frambues...","vainilla, chocolate, ro..."
9549178,"roble, vainilla, chocol...","ciruela, mora, casis","higo, ciruela pasa, fru..."
11392377,No disponible,No disponible,No disponible
5533177,"frambuesa, frutos rojos...","minerales, humo",regaliz
5527113,"roble, vainilla, tabaco","cereza, frutos rojos, g...","cuero, aceto balsámico,..."
2035736,"roble, chocolate, vaini...","frutos del bosque, casi...","cereza, cereza roja, gr..."
9023153,"roble, vainilla","cítrico, pomelo",melón
77245,"ciruela, mora, frutos d...","Terroso, cuero, humo","cereza, frambuesa, frut..."
8407326,"frambuesa, frutos rojos",vainilla,
6109892,"cuero, Terroso, mineral...","cereza, arándano rojo, ...","mora, arándano, mermela..."
1436976,"roble, chocolate, tabac...","fruta negra, mora, casi...","cereza, frutos rojos, c..."
1393973,"roble, chocolate, tabac...","cuero, aceto balsámico,...","ciruela, casis, fruta n..."
1186752,"roble, tabaco, chocolat...","frutos rojos, cereza, f...","cuero, humo, Terroso"
11978050,No disponible,No disponible,No disponible
1364920,"tabaco, roble, cedro","Terroso, humo, piedra","frambuesa, cereza, frut..."
1535819,"cereza, fresa, frutos r...","chocolate, roble, vaini...","ciruela, frutos del bos..."
5253734,"chocolate, roble, vaini...","arándano, ciruela, mora","frutos rojos, cereza, f..."
5919503,"roble, vainilla, chocol...","ciruela, mora, casis","cuero, Terroso, alquitr..."
1414350,"frutos rojos, cereza, a...","vainilla, chocolate, ta...","aceto balsámico, humo"
1387085,"roble, vainilla, chocol...","mora, ciruela, casis","cereza, frutos rojos, f..."
4265252,"roble, tabaco, vainilla","cuero, minerales, Terro...","fruta negra, ciruela, c..."
1142986,"roble, vainilla, clavo ...","ciruela, mora, casis","pimienta, menta, regali..."
1206186,"pimienta, regaliz, anís","casis, mora, arándano","vainilla, cedro, roble"
1909206,No disponible,No disponible,No disponible
1396841,"cuero, Terroso, hongo","frutos del bosque, ciru...","roble, cedro, chocolate"
4190007,"fruta negra, mora, zarz...","cereza, frambuesa, frut...","Terroso, cuero, jengibr..."
4486126,"ciruela, mora, mermelad...",frambuesa,Terroso
6673810,"roble, vainilla, chocol...","cereza, frutos rojos, a...","mora, ciruela, fruta ne..."
8685673,"cereza, fresa, frutos r...","roble, vainilla, chocol...","ciruela, mora, arándano"
7291723,"roble, chocolate, choco...",fruta negra,Terroso
1868194,No disponible,No disponible,No disponible
1184570,"cuero, Terroso, mineral...","fruta negra, mora, frut...","roble, chocolate, vaini..."
2653208,"ciruela, fruta negra, a...","cuero, carne a la parri...","frambuesa, cereza, frut..."
10729904,"mora, casis",roble,"cereza, frutos rojos"
1182626,"roble, vainilla, chocol...","aceto balsámico, cuero,...",frutos rojos
1219086,"roble, vainilla, chocol...","ciruela, frutos del bos...","cereza, frutos rojos, f..."
2560835,"frutos rojos, cereza, f...","Terroso, cuero, humo","fruta negra, mora, cere..."
4442568,"roble, chocolate, vaini...","casis, frutos del bosqu...","cereza, cereza roja, fr..."
1200035,"roble, vainilla, tabaco","cereza, frutos rojos, a...","cuero, humo, Terroso"
9891164,"mora, ciruela, jambul","regaliz, semillas de hi...","cuero, cacao, Terroso"
12554917,No disponible,No disponible,No disponible
11554983,No disponible,No disponible,No disponible
4314254,"roble, tofi, chocolate","cereza, frambuesa, frut...","Terroso, cuero, aceto b..."
7214550,No disponible,No disponible,No disponible
1425406,No disponible,No disponible,No disponible
1665492,sal,,
1234151,"roble, tabaco, chocolat...","cereza, frambuesa, frut...","cuero, Carne de caza, h..."
1268187,"cereza, fresa fresca, c...","chocolate, café, chocol...","casis, mora, mermelada"
1610096,No disponible,No disponible,No disponible
14409,"frutos rojos, cereza","mora, casis, ciruela",queso
1888728,"mora, casis",cereza,
1197756,"vainilla, bebida cola, ...","cereza, frutos rojos","regaliz, pimienta"
1169754,"roble, vainilla, tabaco","ciruela, frutos del bos...","cereza, frutos rojos, f..."
3652260,"cereza negra, mora, fru...",cereza,
8242636,cereza,Terroso,
4253311,"cereza, frutos rojos, g...","cuero, hongo, ceniza","tabaco, chocolate, robl..."
1184164,"Terroso, cuero, humo",roble,
1158283,"chocolate, mezcla de es...","Terroso, virutas de láp...","cereza, frutos rojos"
2660881,"vainilla, roble, clavo ...","cereza, frambuesa, frut...","ciruela, mora, casis"
10329725,"caramelo, clavo de olor...","miel, cuero","pera, manzana amarilla"
8899930,"cereza, frutos rojos, c...","pimienta, regaliz, anís","arándano, ciruela, frut..."
1909590,"cereza, fresa, frutos r...","Terroso, minerales, cue...","pimienta, pimienta blan..."
7419457,"mora, ciruela, fruta ne...","cereza, frutos rojos, f...","vainilla, chocolate, ro..."
1205087,"vainilla, roble, café","cuero, Terroso, cacao","mora, cereza negra, fru..."
100385,"roble, vainilla, tabaco","mora, fruta negra, ciru...","cuero, humo, aceto bals..."
9571013,No disponible,No disponible,No disponible
7266516,"zarza, mora",almendra,"cereza, frutos rojos"
1205748,"cereza, fresa, frambues...","cuero, Terroso, mineral...","ciruela, mora, frutos d..."
