Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes
https://www.vivino.com/ES/es/domaine-arlaud-clos-saint-denis-grand-cru/w/1240515,1240515,Clos Saint-Denis Grand Cru,No disponible,Francia,Clos Saint-Denis Grand Cru,Domaine Arlaud,Vino tinto,Pinot Noir,244.06,4.4,14,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/clos-frantin-chambertin-grand-cru/w/3229989,3229989,Chambertin Grand Cru,No disponible,Francia,Chambertin Grand Cru,Clos Frantin,Vino tinto,Pinot Noir,515,4.3,13,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/meo-camuzet-vosne-romanee-1er-cru-aux-brulees/w/1240540,1240540,Vosne-Romanée 1er Cru 'Aux Brulées',No disponible,Francia,"Vosne-Romanée 1er Cru ""Aux Brulées""",Méo-Camuzet,Vino tinto,Pinot Noir,580,4.5,13,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/bouchard-pere-and-fils-bonnes-mares-grand-cru/w/1543831,1543831,Bonnes-Mares Grand Cru,No disponible,Francia,Bonnes-Mares Grand Cru,Bouchard Père & Fils,Vino tinto,Pinot Noir,375,4.4,No disponible,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/domaine-sylvain-cathiard-vosne-romanee-1er-cru-en-orveaux/w/779444,779444,Vosne-Romanée 1er Cru 'En Orveaux',No disponible,Francia,"Vosne-Romanée 1er Cru ""En Orveaux""",Domaine Sylvain Cathiard,Vino tinto,Pinot Noir,216.08,4.3,13,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/domaine-faiveley-les-ouvrees-rodin-chambertin-clos-de-beze-grand-cru/w/4926126,4926126,Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,No disponible,Francia,Chambertin-Clos de Bèze Grand Cru,Domaine Faiveley,Vino tinto,Pinot Noir,306.67,4.5,14,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/domaine-armand-rousseau-clos-de-la-roche-grand-cru/w/1296061,1296061,Clos de La Roche Grand Cru,No disponible,Francia,Clos de la Roche Grand Cru,Domaine Armand Rousseau,Vino tinto,Pinot Noir,189,4.5,13,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/hubert-lignier-clos-de-la-roche-grand-cru/w/1128976,1128976,Clos de la Roche Grand Cru,2012,Francia,Clos de la Roche Grand Cru,Hubert Lignier,Vino tinto,Pinot Noir,898.75,4.4,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/liger-belair-richebourg-grand-cru-richebourg/w/1241013,1241013,Richebourg Grand Cru,No disponible,Francia,Richebourg Grand Cru,Liger Belair,Vino tinto,Pinot Noir,590,4.2,No disponible,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
https://www.vivino.com/ES/es/domaine-jacques-frederic-mugnier-chambolle-musigny/w/100673,100673,Chambolle-Musigny,No disponible,Francia,Chambolle-Musigny,Jacques-Frederic Mugnier,Vino tinto,Pinot Noir,80,4.3,5,"Ternera, Ternera lechal, Aves, Carne de caza (ciervo, carne de venado)"
