Wine_ID,Taste_Note_1,Taste_Note_2,Taste_Note_3
5105163,"ciruela, mora, cereza n...","aceto balsámico, cacao,...","roble, tabaco, vainilla"
2689485,"cereza, frutos rojos, a...","Terroso, cuero, mineral...","casis, ciruela, mora"
4994,"chocolate, roble, tabac...","mora, fruta negra, arán...","pimienta, canela, regal..."
3373420,"roble, café, chocolate ...","frutos del bosque, mora",menta
8593937,"fruta negra, arándano, ...","cereza roja, cereza, fr...","Terroso, grafito, tiza"
1155151,"roble, vainilla, chocol...","mora, ciruela, frutos d...","cuero, humo, Terroso"
1401236,"ciruela, mora, casis","roble, vainilla, tabaco","Terroso, cuero, humo"
2265852,"cereza, frutos rojos, f...","Terroso, cuero, humo","ciruela, mora, cereza n..."
1661293,"mora, casis, arándano","roble, chocolate, café","cereza, frutos rojos, f..."
1799961,"minerales, Terroso, cue...","roble, mantequilla, car...","cereza, frutos rojos, f..."
6060817,"frutos rojos, arándano ...",casis,regaliz
9243668,mora,fresa,roble
2326001,"arándano rojo, granada,...","minerales, hierro, piza...","guayaba, tropical"
16756,"cereza, frutos rojos, f...","Terroso, humo, cuero","roble, tabaco, vainilla"
1172001,"roble, tabaco, chocolat...","regaliz, pimienta, hoja...","cereza, frutos rojos, f..."
1544433,"cuero, minerales, humo","mora, fruta negra, casi...","roble, vainilla, café"
1176060,"ciruela, mora, fruta ne...","roble, vainilla, chocol...","cuero, Terroso, humo"
1955105,"cereza, fresa, frambues...","Terroso, humo, minerale...","pimienta, regaliz, anís"
7928250,No disponible,No disponible,No disponible
1310982,"tabaco, roble, vainilla","mora, cereza negra, cir...","cereza, frambuesa, cere..."
1734302,"hoja de laurel, hierbas...","cereza, frambuesa, frut...",cítrico
1161809,"mora, ciruela, frutos d...","cuero, Terroso, humo","vainilla, roble, tabaco"
43204,"mora, ciruela, casis","roble, tabaco, cedro","cuero, Terroso, humo"
8781820,queso,roble,
10173189,"Terroso, humo, aceto ba...","cereza, cereza roja, fr...","fruta negra, aceituna n..."
5937767,"fresa, frambuesa, cerez...","pimienta, romero, tomil...","arándano, frutos del bo..."
1128594,"fresa, cereza, frambues...","Terroso, cuero, hierro","pimienta, anís, caramel..."
1690900,cereza,ciruela,regaliz
65224,"tabaco, roble, vainilla","casis, mora, ciruela","Terroso, cuero, cacao"
2093518,"frambuesa, fresa, cerez...","Terroso, cuero, mineral...","mora, ciruela, arándano"
11130163,"ciruela, mora, mermelad...","chocolate amargo, roble...","cerezo ácido, frambuesa"
4500470,"vainilla, roble, chocol...","mora, ciruela, frutos d...","cereza, frambuesa, frut..."
15142,"roble, vainilla, tabaco","ciruela, mora, frutos d...","cereza, frutos rojos, f..."
1787040,"mora, ciruela, fruta ne...","roble, vainilla, tabaco","aceto balsámico, Terros..."
74451,"roble, vainilla, tabaco","cereza, frutos rojos, c...","mora, fruta negra, casi..."
3332467,"ciruela, mora, casis","frambuesa, cereza, fres...","vainilla, roble, chocol..."
1816271,"mora, ciruela, fruta ne...","chocolate, cedro, bebid...","cereza, frutos rojos, f..."
3789802,No disponible,No disponible,No disponible
1378136,queso,tiza,
2509504,"fresa, cereza, grosella...","ciruela, frutos del bos...","Terroso, grafito, cuero"
22583,No disponible,No disponible,No disponible
1734289,frambuesa,hierbas secas,caramelo
93137,"roble, vainilla","virutas de lápiz, piedr...",pasas de uva
3084838,"fruta negra, casis, ará...",cereza,"flores secas, violeta"
22046,"fresa, cereza, frutos r...","frutos del bosque, ciru...","roble, chocolate, mante..."
1137162,"fruta negra, casis, mor...","fresa, cereza, frambues...","roble, chocolate, caram..."
4961740,pimienta,ceniza,
2710052,"frambuesa, cereza, frut...","Terroso, cuero, mineral...","pimienta, regaliz, cane..."
8851707,"roble, tabaco, tofi","cereza, cereza roja, fr...","cuero, cacao, aceite de..."
1618331,"ciruela, mora, casis","roble, tabaco, vainilla","cereza, frutos rojos, f..."
5143277,"mora, fruta negra, casi...","cuero, Terroso, humo","pimienta, regaliz, euca..."
66004,"roble, vainilla, chocol...","mora, casis, fruta negr...","pimienta, regaliz, ment..."
1604294,"caramelo, café, chocola...","cereza negra, fruta neg...","hoja de laurel, tomillo"
1247675,"roble, chocolate, clavo...","casis, mora, arándano","pimienta, canela, pimie..."
10949591,"cereza, granada",,
4746827,"roble, nuez moscada, ta...","frutos rojos, frambuesa...","suelo del bosque, pizar..."
6896632,"mora, ciruela, casis","Terroso, cacao, suelo d...","chocolate, tabaco, robl..."
19319,"mora, arándano, casis","cereza, frambuesa, frut...","Terroso, cuero, mineral..."
2434461,"frambuesa, cereza, fres...","arándano, mora, ciruela","Terroso, piedra, Carne ..."
6127161,"cereza, frambuesa, gros...","vainilla, roble, chocol...","ciruela, fruta negra, m..."
5841634,"fruta negra, ciruela, f...","regaliz, pimienta, hier...","roble, chocolate, nuez ..."
1274533,"roble, vainilla, chocol...","mora, ciruela, casis","cereza, frutos rojos, f..."
4451388,fruta negra,pimienta,
1565908,"mora, casis, fruta negr...","tabaco, café, chocolate...","frambuesa, cereza, arán..."
2579536,"cereza, fresa, cereza r...","minerales, hojas secas,...","tabaco, vainilla, cedro"
12369000,No disponible,No disponible,No disponible
11725710,ciruela,,
1165671,"roble, tabaco, chocolat...","ciruela, mora, cereza n...","cuero, Terroso, humo"
1383451,"vainilla, tabaco, roble","ciruela, mora, frutos d...","cereza, frambuesa, frut..."
1478439,"Carne de caza, hongo",,
1126740,"roble, chocolate, vaini...","mora, ciruela, fruta ne...","cuero, humo, Terroso"
3095366,No disponible,No disponible,No disponible
1953975,"roble, chocolate, vaini...","ciruela, mora, casis","pimienta, eucalipto, re..."
1206273,"cereza, frambuesa, frut...","Terroso, cuero, hongo","roble, vainilla, mezcla..."
6574802,"mora, zarza, frutos del...","vainilla, mantequilla, ...","fresa deshidratada, fra..."
5601010,"roble, vainilla, chocol...","casis, mora, frutos del...","cuero, Terroso, humo"
7613097,"cereza, frutos rojos, a...","Terroso, humo, minerale...","casis, mora, arándano"
1175107,"roble, vainilla, tabaco","mora, ciruela, casis","Terroso, cuero, piedra"
1253803,"roble, chocolate, vaini...","cereza, fresa, frutos r...","ciruela, mora, fruta ne..."
2918286,tiza,,
1219509,"roble, chocolate, cedro","Terroso, cuero, mineral...","mora, fruta negra, ciru..."
1186484,"cereza, frambuesa, cere...","roble, clavo de olor, v...","Terroso, minerales, cue..."
1099186,"Terroso, cuero, suelo d...","cereza, frambuesa, cere...","roble, chocolate, bebid..."
1100147,"cuero, humo, Terroso","mora, fruta negra, ciru...","pimienta, pimienta blan..."
6246711,"frambuesa, cereza, cere...","Terroso, minerales, hon...","roble, vainilla"
1231421,"roble, tabaco, chocolat...","cereza, frutos rojos, f...","cuero, Terroso, humo"
7350447,"anís, hoja de laurel, c...","Terroso, sílex, suelo d...","butterscotch, chocolate..."
79375,"Terroso, hongo, sílex","cereza, frambuesa, fres...","bebida cola, cedro, cla..."
16343,"cuero, humo, Terroso","fruta negra, mora, acei...","pimienta, regaliz, pimi..."
79231,"cereza, frambuesa, fres...","Terroso, cuero, hongo","roble, tabaco, vainilla"
1207796,"cuero, Terroso, humo","mora, ciruela, cereza n...","roble, chocolate, cedro"
1101358,"cuero, Terroso, hongo","frutos rojos, frambuesa...","mora, casis, casis"
7280,"cereza, fresa, frambues...","vainilla, roble, carame...","suelo del bosque, cuero..."
79273,"roble, tabaco, cedro","casis, mora, ciruela","cuero, Terroso, humo"
1254250,"cereza, frambuesa, arán...","hongo, Terroso, mineral...","ajedrea, enebro, mentol"
4481086,"cuero, humo, maleza","regaliz, ajedrea",mezcla de especias para...
3934439,"cereza, arándano rojo, ...","roble, tabaco, cedro","cuero, aceto balsámico,..."
1144959,"Terroso, minerales, hon...","frambuesa, frutos rojos...","roble, vainilla, clavo ..."
1550031,"frutos rojos, frambuesa...","Terroso, hongo, suelo d...","roble, cedro, vainilla"
7972,"roble, vainilla, tabaco","cuero, Terroso, humo","cereza, frutos rojos, f..."
