0,1,2,3,4,5,6,7,8,ID
Terroso, cuero, virutas...,fresa, cereza, arándano...,frutos del bosque, merm...,,3105259
cereza, frutos rojos,,Terroso, piedra,,chocolate, tabaco, vain...,1280319
fresa, frambuesa, cerez...,casis, mora, fruta negr...,Terroso, minerales, cue...,6365197
No disponible,,,No disponible,,,No disponible,,,2573275
ciruela, fruta negra, c...,roble, vainilla, tabaco,cuero, Terroso, ceniza,1133110
ceniza, Terroso, minera...,arándano rojo, fresa sa...,,roble, bebida cola, cla...,5985946
aceto balsámico, suelo ...,,fresa deshidratada,,,naranja,,,6343332
roble, tabaco, vainilla,cuero, Terroso, humo,cereza, frambuesa, frut...,1302561
roble, vainilla, chocol...,mora, casis, cereza neg...,cereza, frambuesa, fres...,2735037
arándano, ciruela, mora,roble, vainilla, clavo ...,regaliz, pimienta blanc...,,3985319
No disponible,,,No disponible,,,No disponible,,,1283561
cereza,,,mermelada,,,ajedrea,,,1360802
humo, minerales, Terros...,cereza, cereza roja, fr...,roble,,,7706895
arándano,,,frambuesa,,,naranja,,,7118207
fresa, frutos rojos, ce...,minerales, Terroso, hum...,pimienta, salvia, hierb...,3869502
granada, frambuesa, fru...,cereza negra,,,hierba,,,6377476
cereza, frutos rojos, f...,vainilla, chocolate ama...,,cacao, Terroso, humo,1148198
roble, chocolate, café,frutos del bosque, ciru...,,cereza, fresa, frambues...,1135638
cacao, Carne de caza, j...,clavo de olor, café, ro...,cereza, cereza roja,,1373117
mora, arándano, frutos ...,pimienta, regaliz, ment...,chocolate, roble, choco...,1583754
roble, cedro, chocolate,cereza negra, mermelada,,frutos rojos,,,1278868
cereza, frutos rojos, f...,clavo de olor, roble, c...,cuero, Terroso, cacao,23370
frambuesa, fresa, cerez...,roble, clavo de olor, p...,eucalipto, menta, pimie...,2290754
fresa, arándano rojo, c...,cuero, Terroso, mineral...,regaliz, orégano, pimie...,5171873
pimiento,,,drupa,,,piedra,,,4904442
roble, vainilla, chocol...,mora, ciruela, fruta ne...,cuero, Terroso, humo,1291873
cereza negra, mora,,regaliz,,,chocolate amargo, tabac...,,2610358
roble, vainilla, tabaco,ciruela, mora, fruta ne...,cuero, Terroso, humo,1134068
cuero, humo, Terroso,tabaco,,,frutos rojos,,,6677896
Terroso,,,No disponible,,,No disponible,,,7182821
pizarra, Terroso, piedr...,cereza negra, fruta neg...,,ciruela roja, fresa sal...,,7179664
mermelada,,,vainilla,,,No disponible,,,11412217
