Wine_ID,Taste_Note_1,Taste_Note_2,Taste_Note_3
1197537,"frambuesa, fresa",levadura,
1279857,"fresa, frambuesa, cerez...","levadura, banana, crema","manzana, melón, melocot..."
1204442,"cítrico, limón, lima","manzana, pera, manzana ...","minerales, miel, tiza"
1804248,"manzana verde, pera, ma...","cítrico, pomelo, limón","minerales, miel, piedra"
2404096,"fresa, frambuesa, sandí...","miel, Carne de caza, qu...",cítrico
2318783,"manzana, melón, pera","cítrico, limón, piel de...","crema, levadura"
1981254,fresa,,
2350412,"fresa, cereza, frambues...","jengibre, Carne adobada",mermelada
2356327,"manzana, melocotón",miel,"cítrico, cáscara de lim..."
1205806,"manzana, melocotón, man...","levadura, crema","sal, miel, minerales"
1262423,"cítrico, limón, lima","pera, manzana, manzana ...","minerales, miel, piedra"
1136826,No disponible,No disponible,No disponible
4645196,"cereza, frambuesa, fres...",arándano,lima
3774698,"mora, arándano",manzana,
1136343,"manzana, manzana verde,...","cítrico, limón, pomelo","minerales, miel, plásti..."
12406620,No disponible,No disponible,No disponible
1273908,cítrico,minerales,
11160867,"pera, manzana, manzana ...","cítrico, piel de limón,...","Terroso, minerales, pie..."
2350265,"cítrico, limón, pomelo","tostada, brioche, almen...","minerales, miel, Terros..."
2825444,"manzana, manzana verde,...",lichi,"cítrico, naranja"
2113369,casis,cereza,
3023306,"frambuesa, cereza, fres...","vainilla, mantequilla",tomate
3112350,"cereza, frambuesa, frut...","pimienta, ajedrea","suelo del bosque, miner..."
4380215,manzana,levadura,cítrico
2461512,"pera, melocotón, manzan...",miel,paja
1177164,"fresa, frambuesa, aránd...","cítrico, limón, pomelo","crema, levadura, queso"
1793537,"manzana, manzana verde,...",cítrico,tostada
1718508,pera,,
2174303,"membrillo, manzana, per...","galleta, tostada, almen...","mantequilla, caramelo, ..."
3091046,No disponible,No disponible,No disponible
5529106,"cítrico, limón, lima","manzana verde, manzana ...","tostada, almendra, alme..."
10758436,"cítrico, limón, lima","manzana, pera, manzana ...","miel, sal"
17407,"albaricoque, melocotón,...","vainilla, roble, masas ...","brioche, almendra, avel..."
1163263,"pera, melocotón, melón","cítrico, limón, lima","crema, levadura, queso"
1831671,"pasas de uva negras, fr...","naranja roja, cítrico",
2560748,No disponible,No disponible,No disponible
1152433,"pera, manzana, manzana ...","miel, minerales, jengib...","cítrico, pomelo, lima"
7801127,cítrico,"manzana verde, manzana","miel, minerales"
9224672,"manzana verde, pera, me...","crema, levadura","heno, paja"
1152353,"melocotón, manzana, per...","cítrico, pomelo, limón","flor de saúco, flor de ..."
2010389,"fresa, frambuesa, fruto...","cítrico, limón, naranja","piña, mango"
2598495,"melón, pera",cítrico,
20252,fresa salvaje,chicle,manzana
1621813,"fresa, cereza, frambues...","chocolate, vainilla","crema, queso"
1881393,"manzana, manzana verde","brioche, avellana tosta...",limón
2322746,"fresa, frambuesa, fruto...","galleta, tostada, brioc...","crema, queso, levadura"
2495802,"cereza, algodón de azúc...","pasas de uva negras, ci...",
1433897,"manzana, manzana asada",tropical,cítrico
6933671,"almendra, galleta, tost...","pomelo, cítrico, limón","manzana, pera, melocotó..."
1895466,"manzana, manzana verde,...","limón, cítrico, pomelo","levadura, queso, crema"
1961019,"frambuesa, cereza, gros...","crema, levadura","manzanilla, acacia"
6015567,No disponible,No disponible,No disponible
7393728,fresa,ruibarbo,minerales
6538208,"fresa, cereza, frambues...","cítrico, pomelo, limón","manzana, manzana verde,..."
3889279,"manzana verde, manzana,...","limón, cítrico, pomelo","flor de saúco, madresel..."
1395849,roble,"manzana asada, pera",flor de cítricos
10332001,"frambuesa, fresa salvaj...",manzana verde,lima
2760832,manzana,cítrico,"crema, levadura"
8497575,"manzana, pera, pera asi...",tostada,"mantequilla, roble"
2817092,manzana verde,,
2528083,"queso, levadura","caramelo, roble","grosella espinosa, ruib..."
2071418,"frambuesa, fresa, cerez...","mantequilla, caramelo","pera, manzana"
2440588,"manzana, melón, pera","miel, minerales, pizarr...","crema, lager, levadura"
1235480,"manzana, manzana verde,...","cítrico, pomelo, limón","fresa, frambuesa, grose..."
10166362,"melón, pera, manzana am...",crema,
1673483,"manzana, melón, pera","cítrico, limón, piel de...","levadura, crema"
5357083,"manzana, manzana verde,...","cítrico, piel de limón,...",arándano rojo
1240376,"cereza, arándano rojo, ...","ciruela, mora, cereza n...",Terroso
1417142,fresa,"casis, ciruela",conserva de limón
4585687,"almendra, galleta, tost...","manzana asada, pera, ma...","mantequilla, vainilla, ..."
2647146,"cítrico, pomelo","manzana verde, manzana ...",tostada
2492473,"cítrico, limón, lima","manzana verde, manzana,...","piedra, humo, jengibre"
7748090,"manzana verde, manzana,...","limón, cítrico, lima","levadura, requesón"
